Regione,Monumento,Coordinate,Provincia,Città,Distanza,Coordinate_Scuola
umbria,"('Umbria', 'Complesso Benedettino di Santa Croce')","[43.082, 12.6152]",Perugia,Assisi,525.0266094947392,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'San Francesco')","[43.062799999999996, 12.6525]",Perugia,Assisi,529.1160377851962,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Predica agli Uccelli')","[42.978500000000004, 12.581999999999999]",Perugia,Cannara,524.4773042336917,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Monumento ai Caduti')","[43.0758, 12.049800000000001]",Perugia,Castiglione del lago,470.6158159893885,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Ai Bersaglieri')","[43.0758, 12.049800000000001]",Perugia,Citta' di castello,470.6158159893885,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Venanzio Gabriotti')","[43.4632, 12.2539]",Perugia,Citta' di castello,481.4186474569187,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'XI Settembre 1860')","[4.3458, 12.239700000000001]",Perugia,Citta' di castello,4030.899631664421,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Civitella')","[42.9351, 12.8092]",Perugia,Foligno,547.5346659793398,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Giuseppe Garibaldi')","[42.9572, 12.706399999999999]",Perugia,Foligno,537.036005031889,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Stele del Soldato')","[4.3225999999999996, 12.7913]",Perugia,Gualdo tadino,4040.019785902214,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Ai Caduti nella Grande Guerra')","[43.3519, 12.5769]",Perugia,Gubbio,515.2677346370886,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Castello di Biscina')","[43.2106, 12.5865]",Perugia,Gubbio,519.2030793324609,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Monumento ai Caduti')","[42.7932, 13.0928]",Perugia,Norcia,578.6654819381786,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Statua di Garibaldi')","[43.1058, 12.3887]",Perugia,Perugia,502.5010390161013,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Al Partigiano Umbro')","[43.4419, 12.4372]",Perugia,Pietralunga,499.8212387234947,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Villa Graziani')","[43.5382, 12.1968]",Perugia,San giustino,474.4285027355416,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Eremo San Paterniano')","[42.880900000000004, 12.829400000000001]",Perugia,Sellano,550.9319614709448,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Villa La Montagnola (private house)')","[43.0179, 12.4471]",Perugia,Torgiano,510.4251127532171,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Monumento di Partigiani')","[42.777300000000004, 12.8676]",Perugia,Vallo di nera,557.4956935866753,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Monumento ai Caduti')","[42.6625, 12.2874]",Terni,Montecchio,505.9736279246154,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Monumento ai caduti')","[4.272, 12.1202]",Terni,Orvieto,4036.8521294177854,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'War Cemetery')","[42.7267, 12.1501]",Terni,Orvieto,490.88200611203,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Germinal Cimarelli')","[4.263, 12.6004]",Terni,Terni,4043.4897306081334,"(44.37841724013469, 7.527509324729372)"
umbria,"('Umbria', 'Germinal Cimarelli')","[4.263, 12.6004]",Terni,Terni,4043.4897306081334,"(44.37841724013469, 7.527509324729372)"
